       OLR1_CO2        OLR1_CO2
        0.00000         0.00000
        0.00001         0.00001
        0.00003         0.00003
        0.00006         0.00006
        0.00010         0.00010
        0.00015         0.00015
        0.00022         0.00022
        0.00029         0.00029
        0.00038         0.00038
        0.00048         0.00048
        0.00059         0.00059
        0.00071         0.00071
        0.00084         0.00084
        0.00099         0.00099
        0.00114         0.00114
        0.00131         0.00131
        0.00148         0.00148
        0.00167         0.00167
        0.00186         0.00186
        0.00180         0.00180
        0.00219         0.00219
        0.00251         0.00251
        0.00275         0.00275
        0.00298         0.00298
        0.00325         0.00325
        0.00360         0.00360
        0.00368         0.00368
        0.00408         0.00408
        0.00431         0.00431
        0.00469         0.00469
        0.00492         0.00492
        0.00532         0.00532
        0.00545         0.00545
        0.00592         0.00592
        0.00637         0.00637
        0.00669         0.00669
        0.00698         0.00698
        0.00635         0.00635
        0.00711         0.00711
        0.00679         0.00679
        0.00840         0.00840
        0.00787         0.00787
        0.00936         0.00936
        0.00977         0.00977
        0.01034         0.01034
        0.01080         0.01080
        0.01115         0.01115
        0.01136         0.01136
        0.01172         0.01172
        0.01262         0.01262
        0.01314         0.01314
        0.01321         0.01321
        0.01407         0.01407
        0.01406         0.01406
        0.01463         0.01463
        0.01490         0.01490
        0.01361         0.01361
        0.01384         0.01384
        0.01623         0.01623
        0.01564         0.01564
        0.01545         0.01545
        0.01862         0.01862
        0.01822         0.01822
        0.01941         0.01941
        0.01948         0.01948
        0.02007         0.02007
        0.02174         0.02174
        0.02229         0.02229
        0.02081         0.02081
        0.02178         0.02178
        0.02416         0.02416
        0.02466         0.02466
        0.02421         0.02421
        0.02234         0.02234
        0.02725         0.02725
        0.02621         0.02621
        0.02267         0.02267
        0.02744         0.02744
        0.02756         0.02756
        0.02449         0.02449
        0.02769         0.02769
        0.03063         0.03063
        0.02975         0.02975
        0.03008         0.03008
        0.03283         0.03283
        0.03363         0.03363
        0.03426         0.03426
        0.03413         0.03413
        0.03887         0.03887
        0.03110         0.03110
        0.03173         0.03173
        0.03608         0.03608
        0.03413         0.03413
        0.03212         0.03212
        0.03767         0.03767
        0.03964         0.03964
        0.03740         0.03740
        0.03788         0.03788
        0.03941         0.03941
        0.04295         0.04295
        0.03700         0.03700
        0.03934         0.03934
        0.04317         0.04317
        0.04561         0.04561
        0.04482         0.04482
        0.03770         0.03770
        0.03953         0.03953
        0.04902         0.04902
        0.04471         0.04471
        0.05100         0.05100
        0.05152         0.05152
        0.04753         0.04753
        0.04959         0.04959
        0.05408         0.05408
        0.05609         0.05609
        0.05722         0.05722
        0.05726         0.05726
        0.05294         0.05294
        0.05691         0.05691
        0.05843         0.05843
        0.05758         0.05758
        0.05566         0.05566
        0.05334         0.05334
        0.04902         0.04902
        0.06086         0.06086
        0.06159         0.06159
        0.05260         0.05260
        0.06060         0.06060
        0.05748         0.05748
        0.06434         0.06434
        0.06524         0.06524
        0.06040         0.06040
