             v1        OLR1_CO2        OLR2_CO2
        0.10000         0.00000         0.00000
       10.10000         0.00059         0.00059
       20.10000         0.00219         0.00219
       30.10000         0.00492         0.00492
       40.10000         0.00840         0.00840
       50.10000         0.01314         0.01314
       60.10000         0.01545         0.01545
       70.10000         0.02416         0.02416
       80.10000         0.02769         0.02768
       90.10000         0.03173         0.03173
      100.10000         0.03700         0.03700
      110.10000         0.05152         0.05152
      120.10000         0.05758         0.05758
      130.10000         0.06524         0.06523
      140.10000         0.05779         0.05779
      150.10000         0.06986         0.06985
      160.10000         0.08888         0.08887
      170.10000         0.08178         0.08178
      180.10000         0.10964         0.10962
      190.10000         0.11904         0.11902
      200.10000         0.12153         0.12151
      210.10000         0.12431         0.12429
      220.10000         0.14477         0.14475
      230.10000         0.14878         0.14876
      240.10000         0.17130         0.17127
      250.10000         0.14298         0.14297
      260.10000         0.18211         0.18206
      270.10000         0.19805         0.19800
      280.10000         0.16921         0.16918
      290.10000         0.16947         0.16945
      300.10000         0.20076         0.20071
      310.10000         0.22090         0.22082
      320.10000         0.23429         0.23419
      330.10000         0.23852         0.23842
      340.10000         0.24342         0.24331
      350.10000         0.22103         0.22095
      360.10000         0.24273         0.24262
      370.10000         0.20860         0.20859
      380.10000         0.26703         0.26684
      390.10000         0.29323         0.29298
      400.10000         0.26001         0.25983
      410.10000         0.33366         0.33321
      420.10000         0.17268         0.17265
      430.10000         0.31971         0.31930
      440.10000         0.34545         0.34485
      450.10000         0.35436         0.35365
      460.10000         0.25488         0.25455
      470.10000         0.34075         0.34004
      480.10000         0.36916         0.36811
      490.10000         0.36083         0.35978
      500.10000         0.38070         0.37925
      510.10000         0.30160         0.30087
      520.10000         0.25791         0.25729
      530.10000         0.38438         0.38114
      540.10000         0.38962         0.38688
      550.10000         0.32608         0.32431
      560.10000         0.35260         0.34953
      570.10000         0.28373         0.28199
      580.10000         0.35654         0.35089
      590.10000         0.25673         0.24425
      600.10000         0.33673         0.29481
      610.10000         0.34270         0.30146
      620.10000         0.32466         0.28726
      630.10000         0.23899         0.19909
      640.10000         0.16052         0.17895
      650.10000         0.11766         0.13044
      660.10000         0.10132         0.11211
      670.10000         0.24775         0.26108
      680.10000         0.09547         0.10583
      690.10000         0.10048         0.11433
      700.10000         0.11870         0.13979
      710.10000         0.21215         0.17459
      720.10000         0.09225         0.10493
      730.10000         0.17424         0.18459
      740.10000         0.27803         0.22733
      750.10000         0.28237         0.25983
      760.10000         0.32283         0.27933
      770.10000         0.34233         0.33252
      780.10000         0.36830         0.35862
      790.10000         0.38052         0.37448
      800.10000         0.31571         0.31254
      810.10000         0.33769         0.33464
      820.10000         0.37174         0.36702
      830.10000         0.36166         0.35854
      840.10000         0.36678         0.36382
      850.10000         0.35781         0.35521
      860.10000         0.33442         0.33240
      870.10000         0.35395         0.35171
      880.10000         0.34551         0.34350
      890.10000         0.29316         0.29194
      900.10000         0.34527         0.34333
      910.10000         0.33937         0.33758
      920.10000         0.33303         0.33096
      930.10000         0.32923         0.32759
      940.10000         0.32491         0.32193
      950.10000         0.30489         0.30013
      960.10000         0.30696         0.30570
      970.10000         0.29699         0.28815
      980.10000         0.29761         0.29322
      990.10000         0.29561         0.29425
     1000.10000         0.26586         0.26491
     1010.10000         0.11303         0.11283
     1020.10000         0.07448         0.07448
     1030.10000         0.06847         0.06847
     1040.10000         0.06195         0.06156
     1050.10000         0.09516         0.09425
     1060.10000         0.09044         0.08921
     1070.10000         0.24086         0.22984
     1080.10000         0.24631         0.24251
     1090.10000         0.23828         0.23662
     1100.10000         0.22433         0.22360
     1110.10000         0.22507         0.22436
     1120.10000         0.22595         0.22524
     1130.10000         0.20802         0.20738
     1140.10000         0.21416         0.21350
     1150.10000         0.20630         0.20568
     1160.10000         0.19527         0.19471
     1170.10000         0.16635         0.16591
     1180.10000         0.16298         0.16257
     1190.10000         0.19107         0.19048
     1200.10000         0.18298         0.18242
     1210.10000         0.13464         0.13429
     1220.10000         0.10780         0.10760
     1230.10000         0.16028         0.15978
     1240.10000         0.10902         0.10882
     1250.10000         0.13776         0.13742
     1260.10000         0.09916         0.09895
     1270.10000         0.03063         0.03061
     1280.10000         0.09010         0.08994
     1290.10000         0.07037         0.07025
     1300.10000         0.05193         0.05185
     1310.10000         0.06403         0.06394
     1320.10000         0.07409         0.07396
     1330.10000         0.10004         0.09978
     1340.10000         0.06104         0.06093
     1350.10000         0.06687         0.06675
     1360.10000         0.02117         0.02116
     1370.10000         0.06800         0.06786
     1380.10000         0.06718         0.06703
     1390.10000         0.05052         0.05044
     1400.10000         0.04810         0.04801
     1410.10000         0.03355         0.03351
     1420.10000         0.01356         0.01355
     1430.10000         0.03139         0.03135
     1440.10000         0.03776         0.03770
     1450.10000         0.03457         0.03452
     1460.10000         0.02619         0.02615
     1470.10000         0.01575         0.01574
     1480.10000         0.03428         0.03422
     1490.10000         0.00667         0.00666
     1500.10000         0.01959         0.01957
     1510.10000         0.01274         0.01273
     1520.10000         0.01132         0.01131
     1530.10000         0.01891         0.01888
     1540.10000         0.00566         0.00566
     1550.10000         0.01142         0.01140
     1560.10000         0.00562         0.00562
     1570.10000         0.01039         0.01038
     1580.10000         0.02153         0.02149
     1590.10000         0.02193         0.02187
     1600.10000         0.02730         0.02722
     1610.10000         0.01898         0.01893
     1620.10000         0.01015         0.01013
     1630.10000         0.01643         0.01639
     1640.10000         0.01253         0.01250
     1650.10000         0.00830         0.00829
     1660.10000         0.01030         0.01028
     1670.10000         0.00139         0.00139
     1680.10000         0.00351         0.00351
     1690.10000         0.00629         0.00628
     1700.10000         0.00104         0.00104
     1710.10000         0.01055         0.01052
     1720.10000         0.00485         0.00484
     1730.10000         0.01119         0.01116
     1740.10000         0.00535         0.00534
     1750.10000         0.00584         0.00582
     1760.10000         0.01114         0.01110
     1770.10000         0.00803         0.00800
     1780.10000         0.01203         0.01197
     1790.10000         0.00997         0.00993
     1800.10000         0.00247         0.00247
     1810.10000         0.00707         0.00705
     1820.10000         0.01098         0.01092
     1830.10000         0.00184         0.00183
     1840.10000         0.00735         0.00732
     1850.10000         0.01091         0.01083
     1860.10000         0.00504         0.00501
     1870.10000         0.00493         0.00491
     1880.10000         0.01641         0.01621
     1890.10000         0.00621         0.00616
     1900.10000         0.01643         0.01581
     1910.10000         0.00946         0.00916
     1920.10000         0.01006         0.00970
     1930.10000         0.01069         0.01055
     1940.10000         0.00255         0.00254
     1950.10000         0.01004         0.00989
     1960.10000         0.01106         0.01068
     1970.10000         0.01667         0.01625
     1980.10000         0.01213         0.01189
     1990.10000         0.00244         0.00242
     2000.10000         0.00442         0.00436
     2010.10000         0.00758         0.00745
     2020.10000         0.00867         0.00844
     2030.10000         0.00836         0.00814
     2040.10000         0.01405         0.01285
     2050.10000         0.01009         0.00796
     2060.10000         0.00573         0.00491
     2070.10000         0.00763         0.00579
     2080.10000         0.00783         0.00672
     2090.10000         0.00748         0.00672
     2100.10000         0.00798         0.00751
     2110.10000         0.00642         0.00592
     2120.10000         0.00694         0.00644
     2130.10000         0.00761         0.00705
     2140.10000         0.00968         0.00885
     2150.10000         0.00985         0.00890
