             v1        OLR1_CO2        OLR2_CO2
        0.10000         0.00000         0.00000
        1.10000         0.00001         0.00001
        2.10000         0.00003         0.00003
        3.10000         0.00007         0.00007
        4.10000         0.00012         0.00012
        5.10000         0.00018         0.00018
        6.10000         0.00026         0.00026
        7.10000         0.00035         0.00035
        8.10000         0.00046         0.00046
        9.10000         0.00058         0.00058
       10.10000         0.00069         0.00069
       11.10000         0.00083         0.00083
       12.10000         0.00094         0.00094
       13.10000         0.00115         0.00115
       14.10000         0.00124         0.00124
       15.10000         0.00154         0.00154
       16.10000         0.00172         0.00172
       17.10000         0.00193         0.00193
       18.10000         0.00213         0.00213
       19.10000         0.00195         0.00195
       20.10000         0.00228         0.00228
       21.10000         0.00270         0.00270
       22.10000         0.00304         0.00304
       23.10000         0.00338         0.00338
       24.10000         0.00369         0.00369
       25.10000         0.00389         0.00389
       26.10000         0.00375         0.00375
       27.10000         0.00441         0.00441
       28.10000         0.00491         0.00491
       29.10000         0.00524         0.00524
       30.10000         0.00520         0.00520
       31.10000         0.00586         0.00586
       32.10000         0.00582         0.00582
       33.10000         0.00635         0.00635
       34.10000         0.00700         0.00700
       35.10000         0.00722         0.00722
       36.10000         0.00736         0.00736
       37.10000         0.00650         0.00650
       38.10000         0.00741         0.00741
       39.10000         0.00712         0.00712
       40.10000         0.00869         0.00869
       41.10000         0.00815         0.00815
       42.10000         0.00991         0.00991
       43.10000         0.01036         0.01036
       44.10000         0.01114         0.01114
       45.10000         0.01165         0.01165
       46.10000         0.01208         0.01207
       47.10000         0.01203         0.01203
       48.10000         0.01222         0.01222
       49.10000         0.01343         0.01343
       50.10000         0.01420         0.01420
       51.10000         0.01382         0.01382
       52.10000         0.01518         0.01518
       53.10000         0.01478         0.01478
       54.10000         0.01535         0.01535
       55.10000         0.01547         0.01547
       56.10000         0.01430         0.01430
       57.10000         0.01431         0.01431
       58.10000         0.01687         0.01687
       59.10000         0.01609         0.01609
       60.10000         0.01574         0.01574
       61.10000         0.01955         0.01954
       62.10000         0.01876         0.01876
       63.10000         0.02011         0.02011
       64.10000         0.01982         0.01982
       65.10000         0.02120         0.02120
       66.10000         0.02285         0.02284
       67.10000         0.02349         0.02349
       68.10000         0.02158         0.02158
       69.10000         0.02318         0.02318
       70.10000         0.02529         0.02528
       71.10000         0.02578         0.02578
       72.10000         0.02490         0.02490
       73.10000         0.02286         0.02286
       74.10000         0.02731         0.02731
       75.10000         0.02731         0.02731
       76.10000         0.02352         0.02352
       77.10000         0.02840         0.02840
       78.10000         0.02816         0.02816
       79.10000         0.02522         0.02522
       80.10000         0.02859         0.02859
       81.10000         0.03151         0.03150
       82.10000         0.03057         0.03057
       83.10000         0.03097         0.03097
       84.10000         0.03396         0.03396
       85.10000         0.03474         0.03474
       86.10000         0.03577         0.03576
       87.10000         0.03510         0.03510
       88.10000         0.04084         0.04084
       89.10000         0.03203         0.03203
       90.10000         0.03261         0.03261
       91.10000         0.03698         0.03697
       92.10000         0.03507         0.03507
       93.10000         0.03290         0.03290
       94.10000         0.03858         0.03857
       95.10000         0.04115         0.04115
       96.10000         0.03845         0.03845
       97.10000         0.04013         0.04013
       98.10000         0.04038         0.04037
       99.10000         0.04404         0.04404
      100.10000         0.03816         0.03815
      101.10000         0.04024         0.04024
      102.10000         0.04429         0.04429
      103.10000         0.04756         0.04756
      104.10000         0.04571         0.04570
      105.10000         0.03905         0.03905
      106.10000         0.04076         0.04076
      107.10000         0.05086         0.05086
      108.10000         0.04627         0.04627
      109.10000         0.05242         0.05241
      110.10000         0.05285         0.05285
      111.10000         0.04812         0.04811
      112.10000         0.05081         0.05081
      113.10000         0.05570         0.05570
      114.10000         0.05829         0.05828
      115.10000         0.05909         0.05908
      116.10000         0.05907         0.05906
      117.10000         0.05403         0.05403
      118.10000         0.05871         0.05871
      119.10000         0.05990         0.05990
      120.10000         0.06005         0.06005
      121.10000         0.05625         0.05625
      122.10000         0.05551         0.05551
      123.10000         0.05063         0.05063
      124.10000         0.06243         0.06243
      125.10000         0.06306         0.06306
      126.10000         0.05472         0.05472
      127.10000         0.06297         0.06297
      128.10000         0.05937         0.05937
      129.10000         0.06602         0.06602
      130.10000         0.06696         0.06696
      131.10000         0.06319         0.06319
