             v1        OLR1_CO2        OLR2_CO2
        0.10000         0.00000         0.00000
        1.10000         0.00001         0.00001
        2.10000         0.00003         0.00003
        3.10000         0.00007         0.00007
        4.10000         0.00013         0.00013
        5.10000         0.00020         0.00020
        6.10000         0.00029         0.00029
        7.10000         0.00039         0.00039
        8.10000         0.00050         0.00050
        9.10000         0.00063         0.00063
       10.10000         0.00077         0.00077
       11.10000         0.00092         0.00092
       12.10000         0.00111         0.00111
       13.10000         0.00127         0.00127
       14.10000         0.00150         0.00150
       15.10000         0.00171         0.00171
       16.10000         0.00194         0.00194
       17.10000         0.00219         0.00218
       18.10000         0.00244         0.00244
       19.10000         0.00270         0.00270
       20.10000         0.00300         0.00300
       21.10000         0.00329         0.00328
       22.10000         0.00360         0.00360
       23.10000         0.00386         0.00386
       24.10000         0.00426         0.00426
       25.10000         0.00461         0.00461
       26.10000         0.00450         0.00450
       27.10000         0.00534         0.00534
       28.10000         0.00493         0.00493
       29.10000         0.00615         0.00614
       30.10000         0.00652         0.00652
       31.10000         0.00693         0.00693
       32.10000         0.00739         0.00739
       33.10000         0.00783         0.00783
       34.10000         0.00761         0.00760
       35.10000         0.00880         0.00880
       36.10000         0.00929         0.00929
       37.10000         0.00979         0.00979
       38.10000         0.01030         0.01030
       39.10000         0.01061         0.01061
       40.10000         0.01132         0.01132
       41.10000         0.01186         0.01185
       42.10000         0.01245         0.01245
       43.10000         0.01301         0.01301
       44.10000         0.01359         0.01358
       45.10000         0.01419         0.01418
       46.10000         0.01446         0.01445
       47.10000         0.01538         0.01537
       48.10000         0.01591         0.01591
       49.10000         0.01665         0.01664
       50.10000         0.01729         0.01728
       51.10000         0.01566         0.01566
       52.10000         0.01860         0.01859
       53.10000         0.01784         0.01783
       54.10000         0.01988         0.01987
       55.10000         0.02058         0.02058
       56.10000         0.02130         0.02130
       57.10000         0.02207         0.02206
       58.10000         0.02269         0.02268
       59.10000         0.02351         0.02350
       60.10000         0.02287         0.02286
       61.10000         0.02497         0.02496
       62.10000         0.02576         0.02575
       63.10000         0.02639         0.02638
       64.10000         0.02731         0.02730
       65.10000         0.02787         0.02786
       66.10000         0.02890         0.02889
       67.10000         0.02966         0.02965
       68.10000         0.03028         0.03027
       69.10000         0.03135         0.03134
       70.10000         0.03208         0.03207
       71.10000         0.03302         0.03301
       72.10000         0.03312         0.03311
       73.10000         0.03426         0.03424
       74.10000         0.02847         0.02847
       75.10000         0.03639         0.03637
       76.10000         0.03736         0.03735
       77.10000         0.03808         0.03807
       78.10000         0.03911         0.03909
       79.10000         0.03997         0.03995
       80.10000         0.04097         0.04095
       81.10000         0.04190         0.04188
       82.10000         0.04281         0.04279
       83.10000         0.04375         0.04373
       84.10000         0.04468         0.04466
       85.10000         0.04533         0.04531
       86.10000         0.04662         0.04659
       87.10000         0.04760         0.04757
       88.10000         0.04856         0.04854
       89.10000         0.04954         0.04952
       90.10000         0.05048         0.05046
       91.10000         0.05149         0.05146
       92.10000         0.05254         0.05251
       93.10000         0.05351         0.05349
       94.10000         0.05455         0.05452
       95.10000         0.05556         0.05554
       96.10000         0.05630         0.05627
       97.10000         0.05764         0.05761
       98.10000         0.05869         0.05866
       99.10000         0.05974         0.05971
      100.10000         0.06079         0.06076
      101.10000         0.06128         0.06125
      102.10000         0.06291         0.06288
      103.10000         0.06399         0.06396
      104.10000         0.06505         0.06502
      105.10000         0.06613         0.06610
      106.10000         0.06701         0.06698
      107.10000         0.06833         0.06830
      108.10000         0.06944         0.06941
      109.10000         0.07055         0.07051
      110.10000         0.07164         0.07160
      111.10000         0.07266         0.07263
      112.10000         0.07390         0.07386
      113.10000         0.07501         0.07498
      114.10000         0.07615         0.07611
      115.10000         0.07722         0.07718
      116.10000         0.07842         0.07838
      117.10000         0.07959         0.07955
      118.10000         0.08074         0.08070
      119.10000         0.08189         0.08185
      120.10000         0.08305         0.08301
      121.10000         0.08421         0.08417
      122.10000         0.08540         0.08535
      123.10000         0.08656         0.08652
      124.10000         0.08775         0.08771
      125.10000         0.08893         0.08888
      126.10000         0.09012         0.09007
      127.10000         0.09132         0.09127
      128.10000         0.09252         0.09247
      129.10000         0.09372         0.09367
      130.10000         0.09491         0.09486
      131.10000         0.09612         0.09606
